	24	48	64	128	256	512
ACC	0.7783850652271705	0.7715474583895636	0.776608187134503	0.772357174988754	0.7740890688259109	0.7498200629779577
AUC	0.8634095388997349	0.8600887493044356	0.862704071527601	0.8571303605617331	0.8542842052645975	0.8458216619981327
F1	0.7951054204797564	0.7911293033126142	0.7940963347715524	0.7940265944888923	0.7920308704090289	0.7694447435146019
